Location,Region Name,Zone Name,lat,lng,Number of staff,Number of Doctors,Percentage of underweight Children,Proportion of children 6-59 months with severe acute malnutrition,Proportion of HHs using latrine,Malaria rate,Proportion of  households covered with mosquito bed nets(LLIN),Proportion of functional 1 to 5 networks,Health budget utilization,Essential drugs availability,Integrated Supportive supervision,Reporting completeness
a/chuko,snnpr,sidama,6.557722239,38.3010891888,407.0,0.0,2965.01032639,3636.60068679,678055.400879,5.90407802582,1360.76556396,21781.3607788,188.540649414,1039.5,6165.38220882,7480.57632446
a/ketema,dire dawa,dire dawa,9.0336,38.72361,72.0,0.0,2222.88248846,891.869322538,3409.66650391,0.3400432899,200.0,3358.33478546,0.0,1108.0,1675.0,8864.69692993
a/tsembila,tigray,tigray,13.9574872516,37.9943973894,105.0,0.0,3075.19524193,2028.77013206,66216.2626343,27.5505133667,803.68927002,53881.6986084,195.789993286,2102.0,15355.0001221,15960.2382812
a/wondo,snnpr,sidama,6.60291372264,38.435211766,342.0,0.0,2696.27648735,20838.4683757,18208.829895,1.57981836319,657.034820557,18052.9414673,98.9386291504,1039.5,6774.51837158,4573.50309753
abaala,afar,afar,13.3393923143,39.9596725596,106.0,0.0,0.0,141.666664124,14350.9801255,0.0110893988609,749.162506103,100.0,200.0,226.0,4466.66665649,2180.0
abadir,harreri,harreri,9.301828,42.142272,12.0,0.0,0.0,0.0,401.29486084,0.32,100.0,365.697955728,200.0,0.0,900.0,1850.0
abaya,oromiya,borena,6.38936549806,38.0329066339,106.0,0.0,9656.93347585,4367.32514954,11165.0268555,25.1201614227,749.162506103,24310.598938,200.0,1562.0,5526.06375122,7107.33829498
abayi choman,oromiya,horo guduru welega,9.71799438216,37.33720737,320.0,0.0,1771.36103514,391.794342726,56381.6816406,10.7494998779,200.0,22348.1438599,200.0,1320.0,5600.0,11233.5796814
abe dongoroo,oromiya,horo guduru welega,9.59390116722,36.8614375533,88.0,0.0,2523.17394626,656.909807205,10417.5238037,26.9144275513,749.162506103,14547.4820557,30.1754379272,1866.0,4233.33325195,9660.0
abergele,amhara,waghimra,13.0749219934,38.889111524,106.0,0.0,9366.60202789,3003.1905036,19653.9306641,14.5480254974,749.162506103,11814.0035548,200.0,1285.0,5133.33328247,11108.9246368
abeshge,snnpr,gurage,8.30257608261,37.6064255466,224.0,0.0,308.471175849,14.3712533927,6180.25640869,3.34398692322,595.001296997,14849.9921875,142.493202209,1039.5,3922.25515747,2388.46154022
abi adi town,tigray,tigray,13.623028,39.002033,54.0,0.0,18.2890356109,3.82661024109,14350.9801255,0.356263170719,749.162506103,18915.9616089,53.1730995178,282.0,599.999996185,100.0
abobo,gambella,gambella,7.8551821067,34.5375601429,106.0,0.0,574.866684914,1220.34520149,16257.677002,15.421352562,749.162506103,2226.44644928,200.0,680.0,766.666664124,6650.0
abuna,oromiya,west shoa,9.67019259439,37.9868350945,56.0,0.0,5532.41512775,1957.72952986,7601.84667969,14.9264218597,1162.80187988,24092.3772354,84.6262359619,1176.0,3575.0,2731.42857361
adaar,afar,afar,11.315658431,40.4437033351,61.0,0.0,3682.49277496,1278.34637165,1067.97383118,7.25626057434,159.802383423,1697.90571022,200.0,717.0,2219.99998474,8740.0
adaba,oromiya,west arsi,6.99045205701,39.5274152359,168.0,0.0,6930.93840027,4157.85978699,258118.34375,0.1,749.162506103,35544.1988525,641.997009277,3096.0,15291.6668701,20495.166008
adabarga,oromiya,west shoa,9.41698128152,38.4371555787,33.0,0.0,9847.54232788,2901.65133858,84241.0056152,9.54880635071,1100.0,45854.1912842,200.0,1248.0,12472.0614014,11325.6210632
adadle,somali,somali,5.81613878657,43.2010920958,80.0,0.0,2430.36709595,295.674250126,3397.13592529,14.0103423004,749.162506103,21100.0,200.0,289.0,100.0,1686.14718628
adama rural,oromiya,east shewa,8.46535149682,39.2677265049,108.0,0.0,6887.1457901,2914.43176174,756745.109131,23.5376091614,1291.84338379,49505.1895752,109.420257568,2662.0,9680.21646118,17439.8849182
